#size  time   bridges  
1      4      80
2      5      90
3      6      100
4      6      120
5      6      150
6      6.5    200
7      7      400
8      7.5    500
9      8      700
10     8      800
20     8      850
30     8.5    1100
40     8.5    1250
50     8.5    1400
60     9      1500
70     9      1570
80     9      1630
90     9      1670
100    9      1700
200    9      1770
300    8.5    1790
400    8.5    1790
500    8.5    1800
600    8.5    1800
700    8.5    1810
800    8.5    1810
900    8.5    1815
1000   8.5    1815

